Loja,IdCliente,Cliente,Data/Hora,FormaDePagamento,Valor,ArquivoOrigem,PeriodoArquivo,NSU,Origem
CE01,1001,CLIENTE_0001,2020-01-02 07:30:00,Débito,25.50,credit_purchases2020_CE01.xlsx,2020,ABC123001,
CE01,1002,CLIENTE_0002,2020-01-02 08:15:00,Crédito,18.75,credit_purchases2020_CE01.xlsx,2020,ABC123002,Balcão
CE01,1003,CLIENTE_0003,2020-01-02 09:45:00,Débito,32.00,credit_purchases2020_CE01.xlsx,2020,ABC123003,
CE05,2001,CLIENTE_0004,2020-01-03 06:50:00,Crédito,15.25,credit_purchases2020_CE05.xlsx,2020,DEF789001,App
CE05,2002,CLIENTE_0005,2020-01-03 10:30:00,Débito,28.50,credit_purchases2020_CE05.xlsx,2020,DEF789002,
CE05,2003,CLIENTE_0006,2020-01-03 14:20:00,Crédito,22.00,credit_purchases2020_CE05.xlsx,2020,DEF789003,Balcão
CE17,3001,CLIENTE_0007,2020-01-04 07:15:00,Débito,35.75,credit_purchases2020_CE17.xlsx,2020,GHI345001,Balcão
CE17,3002,CLIENTE_0008,2020-01-04 11:45:00,Crédito,19.50,credit_purchases2020_CE17.xlsx,2020,GHI345002,
CE17,3003,CLIENTE_0009,2020-01-04 16:30:00,Débito,27.25,credit_purchases2020_CE17.xlsx,2020,GHI345003,App
CE01,1004,CLIENTE_0010,2020-01-05 08:20:00,Crédito,30.00,credit_purchases2020_CE01.xlsx,2020,ABC123004,Balcão
CE05,2004,CLIENTE_0011,2020-01-06 09:10:00,Débito,23.80,credit_purchases2020_CE05.xlsx,2020,DEF789004,
CE17,3004,CLIENTE_0012,2020-01-07 07:50:00,Crédito,26.40,credit_purchases2020_CE17.xlsx,2020,GHI345004,Balcão
CE01,1005,CLIENTE_0013,2022-06-15 08:30:00,Débito,29.50,credit_purchases2022_CE01.xlsx,2022,ABC122015,App
CE05,2005,CLIENTE_0014,2022-06-16 10:15:00,Crédito,24.75,credit_purchases2022_CE05.xlsx,2022,DEF788015,
CE17,3005,CLIENTE_0015,2022-06-17 09:45:00,Débito,33.20,credit_purchases2022_CE17.xlsx,2022,GHI344015,Balcão
CE01,1006,CLIENTE_0016,2022-12-10 07:20:00,Crédito,28.00,credit_purchases2022_CE01.xlsx,2022,ABC121215,Balcão
CE05,2006,CLIENTE_0017,2022-12-11 11:30:00,Débito,31.50,credit_purchases2022_CE05.xlsx,2022,DEF781215,
CE17,3006,CLIENTE_0018,2022-12-12 08:50:00,Crédito,20.25,credit_purchases2022_CE17.xlsx,2022,GHI341215,App
CE01,1007,CLIENTE_0019,2024-03-05 07:45:00,Débito,34.80,credit_purchases2024_CE01.xlsx,2024,ABC120305,
CE05,2007,CLIENTE_0020,2024-03-06 10:20:00,Crédito,26.50,credit_purchases2024_CE05.xlsx,2024,DEF780305,Balcão
CE17,3007,CLIENTE_0021,2024-03-07 09:15:00,Débito,30.75,credit_purchases2024_CE17.xlsx,2024,GHI340305,Balcão
CE01,1008,CLIENTE_0022,2024-09-20 08:05:00,Crédito,25.30,credit_purchases2024_CE01.xlsx,2024,ABC120920,App
CE05,2008,CLIENTE_0023,2024-09-21 11:40:00,Débito,32.10,credit_purchases2024_CE05.xlsx,2024,DEF780920,
CE17,3008,CLIENTE_0024,2024-09-22 07:30:00,Crédito,28.60,credit_purchases2024_CE17.xlsx,2024,GHI340920,Balcão
CE01,1009,CLIENTE_0025,2026-01-10 08:15:00,Débito,36.40,credit_purchases2026_CE01.xlsx,2026,ABC120110,
CE05,2009,CLIENTE_0026,2026-01-11 10:50:00,Crédito,29.85,credit_purchases2026_CE05.xlsx,2026,DEF780110,App
CE17,3009,CLIENTE_0027,2026-01-12 09:20:00,Débito,31.20,credit_purchases2026_CE17.xlsx,2026,GHI340110,Balcão
CE01,1010,CLIENTE_0028,2026-06-15 07:50:00,Crédito,27.50,credit_purchases2026_CE01.xlsx,2026,ABC120615,
CE05,2010,CLIENTE_0029,2026-06-16 11:25:00,Débito,33.75,credit_purchases2026_CE05.xlsx,2026,DEF780615,Balcão
CE17,3010,CLIENTE_0030,2026-06-17 08:40:00,Crédito,24.90,credit_purchases2026_CE17.xlsx,2026,GHI340615,App
